Time (ps),Radius (nm)
1745,1.56499
1746,1.56536
1747,1.56487
1748,1.56522
1749,1.56498
1750,1.56546
1751,1.56514
1752,1.56555
1753,1.56547
1754,1.56501
1755,1.56515
1756,1.56515
1757,1.56536
1758,1.56521
1759,1.56519
1760,1.56512
1761,1.5651
1762,1.56516
1763,1.56519
1764,1.56537
1765,1.56512
1766,1.56554
1767,1.56503
1768,1.56454
1769,1.56553
1770,1.56545
1771,1.56491
1772,1.56518
1773,1.56523
1774,1.5654
1775,1.56539
1776,1.56511
1777,1.56525
1778,1.56517
1779,1.56528
1780,1.56507
1781,1.56514
1782,1.56464
1783,1.56564
1784,1.56506
1785,1.5652
1786,1.56514
1787,1.56471
1788,1.56562
1789,1.56503
1790,1.56525
1791,1.56509
1792,1.56525
1793,1.56552
1794,1.56473
1795,1.56528
1796,1.56513
1797,1.56485
1798,1.56497
1799,1.56498
1800,1.5655
1801,1.5657
1802,1.56473
1803,1.5654
1804,1.56519
1805,1.56561
1806,1.56529
1807,1.56442
1808,1.56601
1809,1.56486
1810,1.56534
1811,1.56563
1812,1.56474
1813,1.5656
1814,1.5654
1815,1.56474
1816,1.56546
1817,1.56512
1818,1.56534
1819,1.56509
1820,1.56495
1821,1.56554
1822,1.56458
1823,1.56519
1824,1.56554
1825,1.56462
1826,1.56547
1827,1.56497
1828,1.56499
1829,1.56542
1830,1.56485
1831,1.56516
1832,1.56486
1833,1.5657
1834,1.56487
1835,1.56483
1836,1.56539
1837,1.56481
1838,1.56563
1839,1.56521
1840,1.56488
1841,1.56549
1842,1.56482
1843,1.56506
1844,1.56484
1845,1.56525
1846,1.56516
1847,1.56546
1848,1.56475
1849,1.56511
1850,1.56519
1851,1.56518
1852,1.5652
1853,1.56516
1854,1.56505
1855,1.56492
1856,1.56526
1857,1.56501
1858,1.56519
1859,1.56497
1860,1.56513
1861,1.56498
1862,1.56484
1863,1.56547
1864,1.56461
1865,1.56557
