E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
2298.92,9.95393,9.89882,0.0551102
2300.26,9.95477,9.89973,0.0550466
2301.59,9.9531,9.89811,0.0549832
2302.93,9.95435,9.89943,0.0549198
2304.26,9.95362,9.89876,0.0548566
2305.6,9.95406,9.89927,0.0547935
2306.93,9.95374,9.89901,0.0547305
2308.26,9.95394,9.89927,0.0546676
2309.6,9.95448,9.89987,0.0546048
2310.93,9.95412,9.89958,0.0545421
2312.27,9.95368,9.8992,0.0544795
2313.6,9.95429,9.89988,0.0544171
2314.93,9.95399,9.89963,0.0543547
2316.27,9.95456,9.90027,0.0542925
2317.6,9.95466,9.90043,0.0542303
2318.94,9.95393,9.89976,0.0541683
2320.27,9.95434,9.90023,0.0541064
2321.61,9.95443,9.90039,0.0540445
2322.94,9.95355,9.89957,0.0539828
2324.27,9.95432,9.9004,0.0539212
2325.61,9.95348,9.89962,0.0538597
2326.94,9.95608,9.90228,0.0537983
2328.28,9.95465,9.90092,0.053737
2329.61,9.95499,9.90131,0.0536758
2330.95,9.95465,9.90104,0.0536147
2332.28,9.95646,9.90291,0.0535537
2333.61,9.95465,9.90116,0.0534928
2334.95,9.95516,9.90173,0.053432
2336.28,9.95398,9.90061,0.0533714
2337.62,9.95473,9.90142,0.0533108
2338.95,9.95328,9.90003,0.0532503
2340.29,9.95386,9.90067,0.0531899
2341.62,9.9531,9.89997,0.0531297
2342.95,9.9534,9.90033,0.0530695
2344.29,9.95394,9.90093,0.0530095
2345.62,9.95449,9.90154,0.0529495
2346.96,9.95409,9.9012,0.0528896
2348.29,9.95456,9.90173,0.0528299
2349.63,9.95304,9.90027,0.0527702
2350.96,9.95321,9.9005,0.0527107
2352.29,9.95281,9.90016,0.0526512
2353.63,9.95284,9.90024,0.0525919
2354.96,9.95364,9.90111,0.0525326
2356.3,9.95385,9.90138,0.0524735
2357.63,9.95306,9.90065,0.0524144
2358.97,9.95308,9.90072,0.0523554
2360.3,9.95303,9.90074,0.0522966
2361.63,9.95453,9.90229,0.0522378
2362.97,9.95379,9.90161,0.0521792
2364.3,9.95342,9.9013,0.0521206
2365.64,9.95146,9.8994,0.0520621
2366.97,9.95198,9.89998,0.0520038
2368.31,9.95173,9.89978,0.0519455
2369.64,9.95156,9.89967,0.0518874
2370.97,9.95132,9.89949,0.0518293
2372.31,9.95156,9.89979,0.0517713
2373.64,9.95133,9.89962,0.0517134
2374.98,9.95079,9.89914,0.0516557
2376.31,9.95128,9.89968,0.051598
2377.64,9.95085,9.89931,0.0515404
2378.98,9.95078,9.89929,0.0514829
2380.31,9.95023,9.89881,0.0514255
2381.65,9.95032,9.89895,0.0513682
2382.98,9.94986,9.89855,0.051311
2384.32,9.95037,9.89912,0.0512539
2385.65,9.95031,9.89912,0.0511969
2386.98,9.95003,9.89889,0.05114
2388.32,9.94961,9.89853,0.0510831
2389.65,9.95067,9.89965,0.0510264
2390.99,9.94938,9.89841,0.0509698
2392.32,9.94989,9.89897,0.0509132
2393.66,9.9498,9.89895,0.0508568
2394.99,9.94964,9.89884,0.0508004
2396.32,9.95,9.89925,0.0507442
2397.66,9.94889,9.8982,0.050688
2398.99,9.95005,9.89942,0.0506319
2400.33,9.94928,9.8987,0.050576
2401.66,9.94903,9.89851,0.0505201
2403,9.94886,9.8984,0.0504643
2404.33,9.94919,9.89878,0.0504086
2405.66,9.94835,9.89799,0.050353
2407,9.94889,9.8986,0.0502975
2408.33,9.94869,9.89845,0.050242
2409.67,9.94812,9.89793,0.0501867
2411,9.94843,9.8983,0.0501314
2412.34,9.94839,9.89831,0.0500763
2413.67,9.94839,9.89837,0.0500212
2415,9.9489,9.89894,0.0499663
2416.34,9.94819,9.89828,0.0499114
2417.67,9.94753,9.89767,0.0498566
2419.01,9.94823,9.89842,0.0498019
2420.34,9.94765,9.8979,0.0497473
2421.68,9.94764,9.89794,0.0496928
2423.01,9.94732,9.89768,0.0496383
2424.34,9.94762,9.89804,0.049584
2425.68,9.94768,9.89815,0.0495297
2427.01,9.9475,9.89802,0.0494756
