Time (ns),Water after lsq fit to Water
0.0907740,0.9818342
0.0908560,0.9809351
0.0909380,1.0096120
0.0910200,0.9793694
0.0911020,1.0083703
0.0911840,1.0084177
0.0912660,0.9799576
0.0913480,1.0363480
0.0914300,1.0353547
0.0915120,1.0895813
0.0915940,1.0910316
0.0916760,1.0643400
0.0917580,1.0649889
0.0918400,1.0369478
0.0919220,1.0648310
0.0920040,1.0911957
0.0920860,1.0916455
0.0921680,0.9794363
0.0922500,0.9804162
0.0923320,1.0079324
0.0924140,1.0314336
0.0924960,1.0314527
0.0925780,1.0864452
0.0926600,1.0876754
0.0927420,1.0631099
0.0928240,1.1397547
0.0929060,1.0638686
0.0929880,1.0633761
0.0930700,1.0362471
0.0931520,1.0369627
0.0932340,1.0384132
0.0933160,0.9830622
0.0933980,0.9839801
0.0934800,1.0122153
0.0935620,1.0668933
0.0936440,1.0665423
0.0937260,1.0662733
0.0938080,1.0395592
0.0938900,1.0413584
0.0939720,1.0144042
0.0940540,0.9574943
0.0941360,1.0969543
0.0942180,0.9870326
0.0943000,1.0144271
0.0943820,1.0134011
0.0944640,1.0116661
0.0945460,1.0133324
0.0946280,0.9865062
0.0947100,1.0421503
0.0947920,1.0425335
