Time (ns),System after lsq fit to System
0.0043900,0.4110065
0.0043950,0.4110145
0.0044000,0.3880685
0.0044050,0.3880478
0.0044100,0.3880242
0.0044150,0.3879986
0.0044200,0.3879727
0.0044250,0.3879481
0.0044300,0.3879271
0.0044350,0.3879122
0.0044400,0.3879044
0.0044450,0.3879023
0.0044500,0.3879023
0.0044550,0.3879015
0.0044600,0.3878994
0.0044650,0.3878989
0.0044700,0.3879033
0.0044750,0.3879138
0.0044800,0.3879287
0.0044850,0.3879461
0.0044900,0.3879658
0.0044950,0.3879892
0.0045000,0.3907857
0.0045050,0.3908023
0.0045100,0.3908223
0.0045150,0.3908418
0.0045200,0.3908583
0.0045250,0.3908723
0.0045300,0.3908872
0.0045350,0.3909077
0.0045400,0.3909349
0.0045450,0.3909647
0.0045500,0.3909920
0.0045550,0.3910151
0.0045600,0.3910360
0.0045650,0.3910577
0.0045700,0.3910818
0.0045750,0.3911101
0.0045800,0.3911434
0.0045850,0.3911814
0.0045900,0.3912231
0.0045950,0.3912667
0.0046000,0.3953858
0.0046050,0.3954242
0.0046100,0.3954650
0.0046150,0.3955060
0.0046200,0.3955466
0.0046250,0.3955893
0.0046300,0.3956379
0.0046350,0.3956953
0.0046400,0.3957592
0.0046450,0.3958227
0.0046500,0.3958792
0.0046550,0.3959247
0.0046600,0.3959593
0.0046650,0.3959850
0.0046700,0.3960057
0.0046750,0.3960242
0.0046800,0.3960408
0.0046850,0.3960546
0.0046900,0.3960662
0.0046950,0.3960778
0.0047000,0.4100020
0.0047050,0.4099859
0.0047100,0.4099763
0.0047150,0.4099767
0.0047200,0.4099918
0.0047250,0.4100217
0.0047300,0.4100615
0.0047350,0.4101063
0.0047400,0.4101533
0.0047450,0.4102010
0.0047500,0.4102472
0.0047550,0.4102915
0.0047600,0.4103349
0.0047650,0.4103756
0.0047700,0.4104112
0.0047750,0.4104409
0.0047800,0.4104651
0.0047850,0.4104846
0.0047900,0.4105002
0.0047950,0.4105145
0.0048000,0.4174222
0.0048050,0.4174310
0.0048100,0.4174541
0.0048150,0.4174865
0.0048200,0.4175221
0.0048250,0.4175560
0.0048300,0.4175863
0.0048350,0.4176149
0.0048400,0.4176469
0.0048450,0.4176883
0.0048500,0.4177416
0.0048550,0.4178047
0.0048600,0.4178729
0.0048650,0.4179414
0.0048700,0.4180070
0.0048750,0.4180678
0.0048800,0.4181225
0.0048850,0.4181704
0.0048900,0.4182114
0.0048950,0.4182442
0.0049000,0.3884226
0.0049050,0.3884187
0.0049100,0.3884299
0.0049150,0.3884524
0.0049200,0.3884780
0.0049250,0.3884985
0.0049300,0.3885122
0.0049350,0.3885228
0.0049400,0.3885344
0.0049450,0.3885488
0.0049500,0.3885677
0.0049550,0.3885919
0.0049600,0.3886197
0.0049650,0.3886487
0.0049700,0.3886767
0.0049750,0.3887009
0.0049800,0.3887194
0.0049850,0.3887323
0.0049900,0.3887434
0.0049950,0.3887570
0.0050000,0.4316134
0.0050050,0.4316344
0.0050100,0.4316555
0.0050150,0.4316773
0.0050200,0.4317026
0.0050250,0.4317324
0.0050300,0.4317650
0.0050350,0.4317991
0.0050400,0.4318352
0.0050450,0.4318751
0.0050500,0.4319191
0.0050550,0.4319651
0.0050600,0.4320097
0.0050650,0.4320506
0.0050700,0.4320867
0.0050750,0.4321166
0.0050800,0.4321388
0.0050850,0.4321539
0.0050900,0.4321657
0.0050950,0.4321770
0.0051000,0.4102511
0.0051050,0.4102277
0.0051100,0.4102164
0.0051150,0.4102177
0.0051200,0.4102284
0.0051250,0.4102445
0.0051300,0.4102626
0.0051350,0.4102826
0.0051400,0.4103076
0.0051450,0.4103415
0.0051500,0.4103857
0.0051550,0.4104372
0.0051600,0.4104885
0.0051650,0.4105324
0.0051700,0.4105662
0.0051750,0.4105921
0.0051800,0.4106152
0.0051850,0.4106413
0.0051900,0.4106726
0.0051950,0.4107083
0.0052000,0.4411973
0.0052050,0.4412126
0.0052100,0.4412378
0.0052150,0.4412683
0.0052200,0.4412985
0.0052250,0.4413255
0.0052300,0.4413501
0.0052350,0.4413738
0.0052400,0.4413972
0.0052450,0.4414212
0.0052500,0.4414464
0.0052550,0.4414717
0.0052600,0.4414948
0.0052650,0.4415145
0.0052700,0.4415305
0.0052750,0.4415433
0.0052800,0.4415532
0.0052850,0.4415613
0.0052900,0.4415699
0.0052950,0.4415798
0.0053000,0.4446313
0.0053050,0.4446082
0.0053100,0.4445869
0.0053150,0.4445727
0.0053200,0.4445694
0.0053250,0.4445786
0.0053300,0.4445992
0.0053350,0.4446288
0.0053400,0.4446643
0.0053450,0.4447011
0.0053500,0.4447358
0.0053550,0.4447688
0.0053600,0.4448029
0.0053650,0.4448398
0.0053700,0.4448787
0.0053750,0.4449158
0.0053800,0.4449466
0.0053850,0.4449696
0.0053900,0.4449859
0.0053950,0.4449975
0.0054000,0.4478498
0.0054050,0.4478435
0.0054100,0.4478522
0.0054150,0.4478750
0.0054200,0.4479073
0.0054250,0.4479433
0.0054300,0.4479793
0.0054350,0.4480147
0.0054400,0.4480505
0.0054450,0.4480881
0.0054500,0.4481271
0.0054550,0.4481669
0.0054600,0.4482064
0.0054650,0.4482446
0.0054700,0.4482816
0.0054750,0.4483170
0.0054800,0.4483506
0.0054850,0.4483833
0.0054900,0.4484170
